record_id,event_id,event_type,reference_period,indicator,consensus_value,unit,consensus_type,survey_provider,publisher,source_url,publication_time_original,publication_time_utc,official_release_time_utc,lead_time_minutes,source_title,source_evidence_excerpt,retrieved_at,validation_status,sample_n,range_low,range_high,qa_official_first_print,qa_arithmetic_difference,econoday_consensus_value,notes
CPI202412-CR-HMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_MOM,0.3,percent,UNKNOWN,UNKNOWN,Calculated Risk,https://www.calculatedriskblog.com/2025/01/cpi-preview.html,1/14/2025 08:12:00 AM,2025-01-14T13:12:00Z,2025-01-15T13:30:00Z,1458,CPI Preview,"The consensus is for 0.3% increase in CPI, and a 0.2% increase in core CPI.",2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,0.4,0.1,,Clock assumed America/New_York EST. Provider not named. Conflicts with FactSet YoY 2.8 vs this source YoY 2.9.
CPI202412-CR-HYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_YOY,2.9,percent,UNKNOWN,UNKNOWN,Calculated Risk,https://www.calculatedriskblog.com/2025/01/cpi-preview.html,1/14/2025 08:12:00 AM,2025-01-14T13:12:00Z,2025-01-15T13:30:00Z,1458,CPI Preview,The consensus is for CPI to be up 2.9% year-over-year and core CPI to be up 3.3% YoY.,2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,2.9,0.0,,Clock assumed America/New_York EST. Provider not named. Conflicts with FactSet headline YoY 2.8.
CPI202412-CR-CMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_MOM,0.2,percent,UNKNOWN,UNKNOWN,Calculated Risk,https://www.calculatedriskblog.com/2025/01/cpi-preview.html,1/14/2025 08:12:00 AM,2025-01-14T13:12:00Z,2025-01-15T13:30:00Z,1458,CPI Preview,"The consensus is for 0.3% increase in CPI, and a 0.2% increase in core CPI.",2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,0.2,0.0,,Clock assumed America/New_York EST. Provider not named.
CPI202412-CR-CYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_YOY,3.3,percent,UNKNOWN,UNKNOWN,Calculated Risk,https://www.calculatedriskblog.com/2025/01/cpi-preview.html,1/14/2025 08:12:00 AM,2025-01-14T13:12:00Z,2025-01-15T13:30:00Z,1458,CPI Preview,The consensus is for CPI to be up 2.9% year-over-year and core CPI to be up 3.3% YoY.,2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,3.2,-0.1,,Clock assumed America/New_York EST. Provider not named.
CPI202412-FS-HYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_YOY,2.8,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/consumer-price-index-cpi-for-december-2024-is-projected-to-rise-2.8-year-over-year,"January 14, 2025",,2025-01-15T13:30:00Z,,Consumer Price Index (CPI) for December 2024 is Projected to Rise 2.8% Year-Over-Year,"The median estimate (year-over-year, not seasonally adjusted) for the consumer price index (CPI) for the month of December 2024 is 2.8%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,8,2.8,2.93,2.9,0.1,,n=8; range 2.80-2.93. Page says Tomorrow (January 15). No clock. Conflicts with FinancialJuice/Calculated Risk 2.9.
CPI202412-FS-CYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_YOY,3.3,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/consumer-price-index-cpi-for-december-2024-is-projected-to-rise-2.8-year-over-year,"January 14, 2025",,2025-01-15T13:30:00Z,,Consumer Price Index (CPI) for December 2024 is Projected to Rise 2.8% Year-Over-Year,"The median estimate (year-over-year, not seasonally adjusted) for the consumer price index excluding food & energy (Core CPI) is 3.3%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,3.2,-0.1,,No MoM fields on this FactSet page. Date only.
CPI202412-MSFS-HMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_MOM,0.3,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/december-cpi-forecasts-predict-stalled-progress-inflation,"Jan 13, 2025",,2025-01-15T13:30:00Z,,December CPI Forecasts Predict Stalled Progress on Inflation,"Economists predict that the Consumer Price Index rose 0.3% on a monthly basis in December, according to FactSet's consensus estimates.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,0.4,0.1,,Morningstar cites a fuller FactSet consensus than the public Insight YoY-only page.
CPI202412-MSFS-HYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_YOY,2.8,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/december-cpi-forecasts-predict-stalled-progress-inflation,"Jan 13, 2025",,2025-01-15T13:30:00Z,,December CPI Forecasts Predict Stalled Progress on Inflation,That would mean the annual inflation rate rose slightly to 2.8% from 2.7% in November.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,2.9,0.1,,Matches FactSet Insight YoY 2.8; conflicts with FinancialJuice/Calculated Risk 2.9.
CPI202412-MSFS-CMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_MOM,0.2,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/december-cpi-forecasts-predict-stalled-progress-inflation,"Jan 13, 2025",,2025-01-15T13:30:00Z,,December CPI Forecasts Predict Stalled Progress on Inflation,"Economists expect the core measure of inflation (which excludes volatile food and energy prices) to rise 0.2% in December, which would keep the annual rate steady at 3.3%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,0.2,0.0,,Date only. FactSet via Morningstar.
CPI202412-MSFS-CYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_YOY,3.3,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/december-cpi-forecasts-predict-stalled-progress-inflation,"Jan 13, 2025",,2025-01-15T13:30:00Z,,December CPI Forecasts Predict Stalled Progress on Inflation,keep the annual rate steady at 3.3%.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,3.2,-0.1,,Date only. FactSet via Morningstar.
