provider,source_agency,event_id,event_type,release_name,reference_period,scheduled_time_local,timezone,scheduled_time_utc,published_date,release_number,source_url,retrieved_at,raw_file,raw_sha256,validation_status,extraction_locator,headline_mom_first_print,headline_yoy_first_print,core_mom_first_print,core_yoy_first_print,previous_headline_mom_as_known,previous_headline_yoy_as_known,nfp_first_print,unemployment_rate_first_print,ahe_mom_first_print,ahe_yoy_first_print,participation_rate_first_print,previous_nfp_as_presented,previous_nfp_revision,two_month_nfp_revision,notes
BLS_NEWS_RELEASE_ARCHIVE,BLS,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,The Employment Situation,2024-12,2025-01-10T08:30:00,America/New_York,2025-01-10T13:30:00Z,2025-01-10,USDL-25-0003,https://www.bls.gov/news.release/archives/empsit_01102025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/employment/empsit_01102025.official.txt,d25fb1ff12cf8717e2d84c9f592b120f8de5a3d3706687b5a85b35cb445070d1,VERIFIED_FIRST_PRINT,lead:total nonfarm payroll employment; lead:unemployment rate; lead:labor force participation rate; lead:average hourly earnings MoM; lead:average hourly earnings YoY; revision paragraph: prior-month payroll as presented,,,,,,,256000,4.1,0.3,3.9,62.5,212000,-15000,-8000,
BLS_NEWS_RELEASE_ARCHIVE,BLS,CPI_2024-12_2025-01-15,CPI,Consumer Price Index,2024-12,2025-01-15T08:30:00,America/New_York,2025-01-15T13:30:00Z,2025-01-15,USDL-25-0021,https://www.bls.gov/news.release/archives/cpi_01152025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/cpi/cpi_01152025.official.txt,ffecacca3b50d486b95ea08bd85edbb8b423a032b34d3498b66918c6a93bbaf5,VERIFIED_FIRST_PRINT,lead:CPI-U seasonally adjusted monthly change; lead:all items 12-month; lead:all items less food and energy monthly; lead:all items less food and energy 12-month,0.4,2.9,0.2,3.2,0.3,2.7,,,,,,,,,
BLS_NEWS_RELEASE_ARCHIVE,BLS,EMPLOYMENT_SITUATION_2025-01_2025-02-07,EMPLOYMENT_SITUATION,The Employment Situation,2025-01,2025-02-07T08:30:00,America/New_York,2025-02-07T13:30:00Z,2025-02-07,USDL-25-0133,https://www.bls.gov/news.release/archives/empsit_02072025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/employment/empsit_02072025.official.txt,8fbfdccd5431069740fa4fd83657c2cdf93d571549729e2bf516816eb3b3f5ed,VERIFIED_FIRST_PRINT,lead:total nonfarm payroll employment; lead:unemployment rate; lead:labor force participation rate; lead:average hourly earnings MoM; lead:average hourly earnings YoY; revision paragraph: prior-month payroll as presented,,,,,,,143000,4.0,0.5,4.1,62.6,307000,51000,100000,
BLS_NEWS_RELEASE_ARCHIVE,BLS,CPI_2025-01_2025-02-12,CPI,Consumer Price Index,2025-01,2025-02-12T08:30:00,America/New_York,2025-02-12T13:30:00Z,2025-02-12,USDL-25-0174,https://www.bls.gov/news.release/archives/cpi_02122025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/cpi/cpi_02122025.official.txt,b54d0e3add549e6965b2c3a57df6ef76eef36f40b67b1a8304c24f7a943398a5,VERIFIED_FIRST_PRINT,lead:CPI-U seasonally adjusted monthly change; lead:all items 12-month; lead:all items less food and energy monthly; lead:all items less food and energy 12-month,0.5,3.0,0.4,3.3,0.4,,,,,,,,,,
BLS_NEWS_RELEASE_ARCHIVE,BLS,EMPLOYMENT_SITUATION_2025-02_2025-03-07,EMPLOYMENT_SITUATION,The Employment Situation,2025-02,2025-03-07T08:30:00,America/New_York,2025-03-07T13:30:00Z,2025-03-07,USDL-25-0296,https://www.bls.gov/news.release/archives/empsit_03072025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/employment/empsit_03072025.official.txt,d78ef74d88710c97506f2441ec2f1caaa1a57924ff8cc866915ffbe2d6f687f4,VERIFIED_FIRST_PRINT,lead:total nonfarm payroll employment; lead:unemployment rate; lead:labor force participation rate; lead:average hourly earnings MoM; revision paragraph: prior-month payroll as presented,,,,,,,151000,4.1,0.3,,62.4,125000,-18000,-2000,
BLS_NEWS_RELEASE_ARCHIVE,BLS,CPI_2025-02_2025-03-12,CPI,Consumer Price Index,2025-02,2025-03-12T08:30:00,America/New_York,2025-03-12T12:30:00Z,2025-03-12,USDL-25-0332,https://www.bls.gov/news.release/archives/cpi_03122025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/cpi/cpi_03122025.official.txt,e6b16031f1f112bd16d74d511cb66f072880158fa0aa65a3d90b36dcc809842a,VERIFIED_FIRST_PRINT,lead:CPI-U seasonally adjusted monthly change; lead:all items 12-month; lead:all items less food and energy monthly; lead:all items less food and energy 12-month,0.2,2.8,0.2,3.1,0.5,,,,,,,,,,
BLS_NEWS_RELEASE_ARCHIVE,BLS,EMPLOYMENT_SITUATION_2025-03_2025-04-04,EMPLOYMENT_SITUATION,The Employment Situation,2025-03,2025-04-04T08:30:00,America/New_York,2025-04-04T12:30:00Z,2025-04-04,USDL-25-0452,https://www.bls.gov/news.release/archives/empsit_04042025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/employment/empsit_04042025.official.txt,a15135bfbc9adda272a8c6f9702bb246732c287588107c3cf75a7452798836bf,VERIFIED_FIRST_PRINT,lead:total nonfarm payroll employment; lead:unemployment rate; lead:labor force participation rate; lead:average hourly earnings MoM; revision paragraph: prior-month payroll as presented,,,,,,,228000,4.2,0.3,,62.5,117000,-34000,,
BLS_NEWS_RELEASE_ARCHIVE,BLS,CPI_2025-03_2025-04-10,CPI,Consumer Price Index,2025-03,2025-04-10T08:30:00,America/New_York,2025-04-10T12:30:00Z,2025-04-10,USDL-25-0459,https://www.bls.gov/news.release/archives/cpi_04102025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/cpi/cpi_04102025.official.txt,0c7f95b0e711554101adbb5ecdc744a31ff6b1dfd7ee52db8103815826e27a4b,VERIFIED_FIRST_PRINT,lead:CPI-U seasonally adjusted monthly change; lead:all items 12-month; lead:all items less food and energy monthly; lead:all items less food and energy 12-month,-0.1,2.4,0.1,2.8,0.2,,,,,,,,,,
BLS_NEWS_RELEASE_ARCHIVE,BLS,EMPLOYMENT_SITUATION_2025-04_2025-05-02,EMPLOYMENT_SITUATION,The Employment Situation,2025-04,2025-05-02T08:30:00,America/New_York,2025-05-02T12:30:00Z,2025-05-02,USDL-25-0658,https://www.bls.gov/news.release/archives/empsit_05022025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/employment/empsit_05022025.official.txt,880ad88f5395f20935209f9752e21be41b95bf1f3bef25669972d29cdcc787bc,VERIFIED_FIRST_PRINT,lead:total nonfarm payroll employment; lead:unemployment rate; lead:labor force participation rate; lead:average hourly earnings MoM; revision paragraph: prior-month payroll as presented,,,,,,,177000,4.2,0.2,,62.6,185000,-43000,-58000,
BLS_NEWS_RELEASE_ARCHIVE,BLS,CPI_2025-04_2025-05-13,CPI,Consumer Price Index,2025-04,2025-05-13T08:30:00,America/New_York,2025-05-13T12:30:00Z,2025-05-13,USDL-25-0786,https://www.bls.gov/news.release/archives/cpi_05132025.htm,2026-09-23T22:50:00Z,data/research/macro_first_print/raw/bls/cpi/cpi_05132025.official.txt,d2cf86947d69e3bc2662c33836a22d89669801b9e5ba219007f020fe14eaf058,VERIFIED_FIRST_PRINT,lead:CPI-U seasonally adjusted monthly change; lead:all items 12-month; lead:all items less food and energy monthly; lead:all items less food and energy 12-month,0.2,2.3,0.2,2.8,0.1,,,,,,,,,,
