bot-1  | [INFO] 2026-09-22 14:47:21.003274: [EXECUTION] BROKER_FILL EUR_USD open fill=1.14553 unitsΓëê2.0000 id=2974 cid=cid-e44293c7501f44e58775ba10e0d63444
bot-1  | [INFO] 2026-09-22 14:47:21.005502: [OPEN] EUR_USD SELL units=2.00 entry=1.14553 mid=1.14578 SL=1.14614 TP=1.14430 kind=live broker_order=true cid=cid-e44293c7501f44e58775ba10e0d63444 broker_id=2974 strategy=trend horizon=scalp
bot-1  | [INFO] 2026-09-22 15:20:03.410578: [EXECUTION] BROKER_FILL GBP_USD open fill=1.33499 unitsΓëê1.0000 id=2984 cid=cid-c3bd414126744467b78054568f80015a
bot-1  | [INFO] 2026-09-22 15:20:03.412057: [OPEN] GBP_USD SELL units=1.00 entry=1.33499 mid=1.33505 SL=1.33602 TP=1.33294 kind=live broker_order=true cid=cid-c3bd414126744467b78054568f80015a broker_id=2984 strategy=scalp horizon=scalp
bot-1  | [INFO] 2026-09-22 15:40:25.900908: [EXECUTION] BROKER_FILL GBP_USD open fill=1.33520 unitsΓëê1.0000 id=2990 cid=cid-08fffb40609a44e8b585040e7a386cfb
bot-1  | [INFO] 2026-09-22 15:40:25.905311: [OPEN] GBP_USD SELL units=1.00 entry=1.33520 mid=1.33552 SL=1.33628 TP=1.33305 kind=live broker_order=true cid=cid-08fffb40609a44e8b585040e7a386cfb broker_id=2990 strategy=scalp horizon=scalp
bot-1  | [INFO] 2026-09-22 15:41:27.513043: [EXECUTION] BROKER_FILL USD_JPY open fill=157.30700 unitsΓëê2.0000 id=2994 cid=cid-0d8ef60a08464f459780b84869b5afbb
bot-1  | [INFO] 2026-09-22 15:41:27.514685: [OPEN] USD_JPY SELL units=2.00 entry=157.30700 mid=157.25000 SL=157.42140 TP=157.07820 kind=live broker_order=true cid=cid-0d8ef60a08464f459780b84869b5afbb broker_id=2994 strategy=mean_reversion horizon=legacy
bot-1  | [INFO] 2026-09-22 15:45:32.847484: [EXECUTION] BROKER_FILL USD_CHF open fill=0.82103 unitsΓëê2.0000 id=3002 cid=cid-1598192431af424f96bff8077a8a1866
bot-1  | [INFO] 2026-09-22 15:45:32.849971: [OPEN] USD_CHF BUY units=2.00 entry=0.82103 mid=0.82093 SL=0.82018 TP=0.82273 kind=live broker_order=true cid=cid-1598192431af424f96bff8077a8a1866 broker_id=3002 strategy=scalp horizon=scalp
bot-1  | [INFO] 2026-09-22 15:47:34.846089: [EXECUTION] BROKER_FILL AUD_USD open fill=0.71042 unitsΓëê3.0000 id=3006 cid=cid-36a2d5e7e86f481e9a255199b035bb35
bot-1  | [INFO] 2026-09-22 15:47:34.847623: [OPEN] AUD_USD BUY units=3.00 entry=0.71042 mid=0.71032 SL=0.70983 TP=0.71160 kind=live broker_order=true cid=cid-36a2d5e7e86f481e9a255199b035bb35 broker_id=3006 strategy=swing_breakout horizon=swing
bot-1  | [INFO] 2026-09-22 16:29:19.300973: [EXECUTION] BROKER_FILL GBP_USD open fill=1.33412 unitsΓëê1.0000 id=3014 cid=cid-ff0a9b09ec40476b826f0ebd27a83b58
bot-1  | [INFO] 2026-09-22 16:29:19.302465: [OPEN] GBP_USD SELL units=1.00 entry=1.33412 mid=1.33446 SL=1.33529 TP=1.33179 kind=live broker_order=true cid=cid-ff0a9b09ec40476b826f0ebd27a83b58 broker_id=3014 strategy=scalp horizon=scalp
bot-1  | [INFO] 2026-09-22 16:50:42.325793: [EXECUTION] BROKER_FILL AUD_USD open fill=0.70976 unitsΓëê3.0000 id=3026 cid=cid-29cc5cd4f96b4551abedc9fe1b4033da
bot-1  | [INFO] 2026-09-22 16:50:42.327574: [OPEN] AUD_USD SELL units=3.00 entry=0.70976 mid=0.70982 SL=0.71039 TP=0.70851 kind=live broker_order=true cid=cid-29cc5cd4f96b4551abedc9fe1b4033da broker_id=3026 strategy=swing_trend horizon=swing
bot-1  | [INFO] 2026-09-22 17:08:03.398118: [EXECUTION] BROKER_FILL USD_CHF open fill=0.82224 unitsΓëê2.0000 id=3034 cid=cid-4e4e53693de24de8a312cdf9c01bf49e
bot-1  | [INFO] 2026-09-22 17:08:03.399759: [OPEN] USD_CHF BUY units=2.00 entry=0.82224 mid=0.82220 SL=0.82153 TP=0.82365 kind=live broker_order=true cid=cid-4e4e53693de24de8a312cdf9c01bf49e broker_id=3034 strategy=trend horizon=scalp
