bot-1  | [RECONCILE BROKER EXIT CONFIRMED] symbol=AUD_USD broker_id=3052 transaction_id=3059
bot-1  | [INFO] 2026-09-22 18:53:55.364412: [EXECUTION] BROKER_FILL GBP_USD open fill=1.33323 unitsΓëê1.0000 id=3062 cid=cid-5ad59806621a456f8b6ad17d15c109b7
bot-1  | [INFO] 2026-09-22 18:53:55.366763: [OPEN] GBP_USD SELL units=1.00 entry=1.33323 mid=1.33284 SL=1.33395 TP=1.33179 kind=live broker_order=true cid=cid-5ad59806621a456f8b6ad17d15c109b7 broker_id=3062 strategy=swing_trend horizon=swing
bot-1  | [INFO] 2026-09-22 18:57:59.771841: [EXECUTION] BROKER_FILL USD_JPY open fill=157.37500 unitsΓëê2.0000 id=3070 cid=cid-ede77346173d456cb0d4e29dcb9c8649
bot-1  | [INFO] 2026-09-22 18:57:59.773531: [OPEN] USD_JPY SELL units=2.00 entry=157.37500 mid=157.39800 SL=157.46740 TP=157.19020 kind=live broker_order=true cid=cid-ede77346173d456cb0d4e29dcb9c8649 broker_id=3070 strategy=mean_reversion horizon=legacy
bot-1  | [RECONCILE BROKER EXIT CONFIRMED] symbol=EUR_USD broker_id=3048 transaction_id=3073
bot-1  | [INFO] 2026-09-22 19:15:16.866432: [EXECUTION] BROKER_FILL AUD_USD open fill=0.71131 unitsΓëê3.0000 id=3076 cid=cid-d61b0db412f24b088a0004ac6f9626ec
bot-1  | [INFO] 2026-09-22 19:15:16.869435: [OPEN] AUD_USD SELL units=3.00 entry=0.71131 mid=0.71136 SL=0.71171 TP=0.71051 kind=live broker_order=true cid=cid-d61b0db412f24b088a0004ac6f9626ec broker_id=3076 strategy=swing_mean_reversion horizon=swing
bot-1  | [RECONCILE BROKER EXIT CONFIRMED] symbol=USD_JPY broker_id=3070 transaction_id=3079
bot-1  | [INFO] 2026-09-22 19:38:39.481068: [EXECUTION] BROKER_FILL USD_JPY open fill=157.49000 unitsΓëê2.0000 id=3082 cid=cid-4385a09628d04fe78ba71ff1b96aadf6
bot-1  | [INFO] 2026-09-22 19:38:39.483007: [OPEN] USD_JPY SELL units=2.00 entry=157.49000 mid=157.49200 SL=157.60800 TP=157.25400 kind=live broker_order=true cid=cid-4385a09628d04fe78ba71ff1b96aadf6 broker_id=3082 strategy=mean_reversion horizon=legacy
