closing_transaction_id,broker_trade_id,symbol,booked_at
2210,2207,USD_CAD,2026-09-21 11:51:00.684007+00
2216,2203,USD_JPY,2026-09-21 12:15:06.705444+00
2230,2227,AUD_USD,2026-09-21 12:28:10.38654+00
2236,2199,GBP_USD,2026-09-21 12:40:13.215782+00
2242,2239,EUR_USD,2026-09-21 13:30:26.378687+00
2248,2245,USD_CHF,2026-09-21 13:44:29.463149+00
2266,2233,USD_CAD,2026-09-21 13:54:32.34861+00
2272,2255,GBP_USD,2026-09-21 14:03:34.731492+00
2274,2269,USD_CAD,2026-09-21 14:03:34.964826+00
2292,2289,EUR_USD,2026-09-21 14:31:41.750695+00
2294,2263,USD_JPY,2026-09-21 14:32:42.333377+00
2314,2277,USD_CAD,2026-09-21 16:11:04.835156+00
2312,2309,USD_JPY,2026-09-21 16:11:05.078207+00
2340,2337,AUD_USD,2026-09-21 18:51:42.212044+00
2346,2343,AUD_USD,2026-09-21 19:10:46.934481+00
2348,2329,EUR_USD,2026-09-21 19:27:50.91196+00
2354,2351,USD_CAD,2026-09-21 19:39:53.827779+00
2385,2285,GBP_USD,2026-09-21 21:05:12.670241+00
2387,2321,USD_CHF,2026-09-21 21:05:12.909365+00
2383,2373,EUR_USD,2026-09-21 21:05:13.161775+00
2381,2377,AUD_USD,2026-09-21 21:05:13.406837+00
2411,2400,EUR_USD,2026-09-21 21:10:14.63392+00
2423,2420,EUR_USD,2026-09-21 21:15:15.906485+00
2425,2390,USD_JPY,2026-09-21 21:19:16.964378+00
2437,2434,AUD_USD,2026-09-21 21:22:17.849891+00
2439,2430,USD_JPY,2026-09-21 21:23:18.315884+00
2445,2442,USD_JPY,2026-09-21 21:24:18.747493+00
2451,2448,GBP_USD,2026-09-21 21:25:19.194939+00
