client_order_id,symbol,side,units,status,created_at,filled_at,fill_price,broker_order_id,filled_units,metadata
cid-1f54cd297c804c738f4c31d12de38254,USD_JPY,BUY,2,FILLED,2026-09-20 21:05:12.296005+00,2026-09-20 21:05:12.422784+00,156.914,1547,2,"{""mid"": 156.86, ""strategy"": ""swing_breakout"", ""expected_mid"": 156.86, ""slippage_signed"": 0.053999999999973625}"
cid-8e56002c258a4c5c8eafc800d319b13b,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:05:12.821094+00,,,,,"{""mid"": 0.82231, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-5019ec1b336e482ba4ea1860cf540cfa,GBP_USD,BUY,1,CANCELLED,2026-09-20 21:06:13.264311+00,,,,,"{""mid"": 1.33869, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-c51054c0d8654b5ca34df06e8d16768d,AUD_USD,BUY,3,CANCELLED,2026-09-20 21:06:13.733715+00,,,,,"{""mid"": 0.71136, ""reason"": ""execution_failed"", ""strategy"": ""swing_mean_reversion""}"
cid-be73cef7bbbc4d9c95ebfc14b3512154,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:07:15.548221+00,,,,,"{""mid"": 0.82231, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-487a9d10b9c2417fa92a974715852371,GBP_USD,BUY,1,CANCELLED,2026-09-20 21:10:19.597047+00,,,,,"{""mid"": 1.33906, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-d7ac1402e0374d97bd2dce81b10546f4,AUD_USD,BUY,3,CANCELLED,2026-09-20 21:10:19.960729+00,,,,,"{""mid"": 0.71145, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-fc0cef6436c741b9a8ec73adbebfb318,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:10:20.325992+00,,,,,"{""mid"": 0.82231, ""reason"": ""execution_failed"", ""strategy"": ""swing_trend""}"
cid-d60a01693048434aa7c73609dcf3a318,GBP_USD,BUY,1,CANCELLED,2026-09-20 21:13:23.580009+00,,,,,"{""mid"": 1.33906, ""reason"": ""execution_failed"", ""strategy"": ""swing_mean_reversion""}"
cid-c92ca38a553e49f3b39b46739314d9f8,AUD_USD,BUY,3,CANCELLED,2026-09-20 21:14:24.78367+00,,,,,"{""mid"": 0.71145, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-aa29eaa71e9c4224b82d8b505aa3dec5,USD_CAD,SELL,2,FILLED,2026-09-20 21:14:25.037498+00,2026-09-20 21:14:25.155118+00,1.39822,1569,2,"{""mid"": 1.39845, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.39845, ""slippage_signed"": 0.00022999999999995246}"
cid-46ffdeed60e340a4b969bb0919a96676,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:14:25.286337+00,,,,,"{""mid"": 0.82231, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-3ecc062b86694c109d02ffa5abf27087,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:15:26.171748+00,,,,,"{""mid"": 0.82265, ""reason"": ""execution_failed"", ""strategy"": ""swing_mean_reversion""}"
cid-1e9a5b63d4364112ba2edf697655b074,USD_CHF,SELL,2,CANCELLED,2026-09-20 21:16:27.154338+00,,,,,"{""mid"": 0.82265, ""reason"": ""execution_failed"", ""strategy"": ""swing_breakout""}"
cid-3ad6c9fc8fd74b238ec33060874fd72f,GBP_USD,BUY,1,CANCELLED,2026-09-20 21:20:30.02221+00,,,,,"{""mid"": 1.33891, ""reason"": ""execution_failed"", ""strategy"": ""swing_mean_reversion""}"
cid-e8b5b9a467674511ba35da16d1f5bc9c,GBP_USD,BUY,1,CANCELLED,2026-09-20 21:23:32.64557+00,,,,,"{""mid"": 1.33891, ""reason"": ""execution_failed"", ""strategy"": ""swing_mean_reversion""}"
