experiment,baseline_n,retained_n,removed_n,baseline_expectancy_r,filtered_expectancy_r,baseline_profit_factor,filtered_profit_factor,baseline_win_rate,filtered_win_rate,baseline_avg_r,filtered_avg_r,baseline_max_dd_r,filtered_max_dd_r,sample_size,split,filter
h1_direction_agreement:train,9344,5367,3977,-0.2066566781467633,-0.17216321975440088,0.7190455404971253,0.7622233658558306,0.2644477739726027,0.2759455934414012,-0.2066566781467633,-0.17216321975440088,1943.000000637176,955.0000006246397,5367,train,h1_direction_agreement
h1_direction_agreement:valid,4672,2691,1981,-0.17037671123386086,-0.16053511542352966,0.7644970428023824,0.7770897853184923,0.276541095890411,0.2798216276477146,-0.17037671123386086,-0.16053511542352966,828.9999949023376,456.9999955312727,2691,valid,h1_direction_agreement
h1_direction_agreement:test,4673,2684,1989,-0.21432160625936153,-0.20420273198995065,0.7094049049211733,0.721829547684841,0.2621442328268778,0.2656482861400894,-0.21432160625936153,-0.20420273198995065,1005.2937840797016,564.0075521361124,2684,test,h1_direction_agreement
h4_severe_conflict_avoid:train,9344,5221,4123,-0.2066566781467633,-0.17027389387730962,0.7190455404971253,0.764628011664684,0.2644477739726027,0.27657536870331356,-0.2066566781467633,-0.17027389387730962,1943.000000637176,896.9999999672438,5221,train,h4_severe_conflict_avoid
h4_severe_conflict_avoid:valid,4672,2429,2243,-0.17037671123386086,-0.193495264022083,0.7644970428023824,0.7353603621177057,0.276541095890411,0.2688349114862083,-0.17037671123386086,-0.193495264022083,828.9999949023376,507.99999632524106,2429,valid,h4_severe_conflict_avoid
h4_severe_conflict_avoid:test,4673,2347,2326,-0.21432160625936153,-0.1990303816315847,0.7094049049211733,0.7281729899271913,0.2621442328268778,0.26714955262036644,-0.21432160625936153,-0.1990303816315847,1005.2937840797016,472.9999943589044,2347,test,h4_severe_conflict_avoid
regime_match:train,9344,2918,6426,-0.2066566781467633,-0.18265935577967474,0.7190455404971253,0.7489401788274865,0.2644477739726027,0.272446881425634,-0.2066566781467633,-0.18265935577967474,1943.000000637176,552.0000000652667,2918,train,regime_match
regime_match:valid,4672,1598,3074,-0.17037671123386086,-0.12891113786932448,0.7644970428023824,0.8183421530238817,0.276541095890411,0.2903629536921151,-0.17037671123386086,-0.12891113786932448,828.9999949023376,235.9999991469777,1598,valid,regime_match
regime_match:test,4673,1280,3393,-0.21432160625936153,-0.19439103072910421,0.7094049049211733,0.7337285002150582,0.2621442328268778,0.26875,-0.21432160625936153,-0.19439103072910421,1005.2937840797016,249.58943724716988,1280,test,regime_match
adx_filter:train,9344,6213,3131,-0.2066566781467633,-0.19604056028520261,0.7190455404971253,0.7321899734002948,0.2644477739726027,0.2679864799613713,-0.2066566781467633,-0.19604056028520261,1943.000000637176,1233.0000010284643,6213,train,adx_filter
