symbol,side,exit_reason,post_reached_original_tp,post_minutes_to_original_tp,post_max_favorable_pips_after,post_moved_original_direction,post_plus_0_5r,post_plus_1r,post_plus_2r,post_5m_pips,post_15m_pips,post_30m_pips,post_60m_pips
EUR_USD,BUY,sl,True,6085.0,351.5,True,True,True,True,-12.5,-10.3,-14.4,-11.7
EUR_USD,BUY,sl,True,5770.0,363.0,True,True,True,True,-6.9,-7.9,-13.3,-8.7
EUR_USD,SELL,sl,True,855.0,374.1,True,True,True,True,-4.9,-4.6,-3.7,-5.5
EUR_USD,SELL,sl,True,435.0,378.0,True,True,True,True,-6.6,-6.7,-8.5,-10.2
EUR_USD,BUY,sl,True,5315.0,368.2,True,True,True,True,-2.1,-2.1,-1.8,-3.5
EUR_USD,BUY,sl,True,170.0,370.3,True,True,True,True,-3.4,-3.6,-3.4,-4.0
EUR_USD,BUY,sl,True,110.0,372.7,True,True,True,True,-1.2,-1.3,-1.5,1.6
EUR_USD,BUY,sl,True,5160.0,369.5,True,True,True,True,-2.8,-1.6,-1.6,0.4
EUR_USD,BUY,sl,True,5070.0,366.2,True,True,True,True,-9.5,-9.0,-8.6,-14.3
EUR_USD,BUY,sl,True,5030.0,374.7,True,True,True,True,-3.0,-3.8,-5.3,-7.4
EUR_USD,BUY,sl,True,5010.0,376.7,True,True,True,True,-5.2,-4.3,-1.1,-7.6
EUR_USD,BUY,sl,True,4950.0,380.9,True,True,True,True,-5.0,-7.3,-7.4,-5.4
EUR_USD,SELL,sl,True,45.0,371.6,True,True,True,True,-9.2,-7.8,-9.4,32.2
EUR_USD,SELL,sl,True,53315.0,294.0,True,True,True,True,-20.2,-20.2,-27.9,-56.8
EUR_USD,SELL,sl,True,1040.0,313.2,True,True,True,True,-37.6,-37.4,-30.2,-26.2
EUR_USD,BUY,sl,True,4170.0,406.7,True,True,True,True,-11.7,-13.8,-20.4,-27.4
EUR_USD,BUY,sl,True,3870.0,424.5,True,True,True,True,-13.2,-14.6,-13.2,-13.9
EUR_USD,SELL,sl,True,165.0,300.2,True,True,True,True,-5.0,-6.1,-6.6,-7.2
EUR_USD,SELL,sl,True,115.0,305.3,True,True,True,True,-3.7,-2.1,0.7,-3.6
EUR_USD,SELL,sl,True,60.0,306.0,True,True,True,True,-2.9,-11.8,-8.6,13.8
EUR_USD,SELL,sl,True,45.0,307.9,True,True,True,True,-7.1,-6.7,2.7,7.1
EUR_USD,BUY,sl,True,85.0,442.5,True,True,True,True,-7.6,-9.5,-27.8,-8.6
EUR_USD,BUY,sl,True,50.0,449.1,True,True,True,True,-21.2,-8.6,-2.0,18.8
EUR_USD,SELL,sl,True,50905.0,297.4,True,True,True,True,-10.0,-20.8,-30.8,-29.7
EUR_USD,SELL,sl,True,50220.0,310.2,True,True,True,True,-12.0,-16.8,-12.2,-21.8
EUR_USD,BUY,sl,True,2050.0,414.0,True,True,True,True,-12.6,-10.3,-13.7,-8.3
EUR_USD,SELL,sl,True,210.0,333.2,True,True,True,True,-4.2,0.4,0.9,1.2
EUR_USD,SELL,sl,True,220.0,325.7,True,True,True,True,-2.9,-5.1,-8.3,-3.3
EUR_USD,SELL,sl,True,75.0,329.8,True,True,True,True,-4.2,-4.4,0.6,-0.7
EUR_USD,SELL,sl,True,230.0,327.6,True,True,True,True,1.2,-5.6,1.2,8.5
EUR_USD,SELL,sl,True,220.0,325.4,True,True,True,True,-1.6,0.4,3.6,6.1
EUR_USD,SELL,sl,True,115.0,326.0,True,True,True,True,-4.4,-2.2,4.5,8.0
EUR_USD,SELL,sl,True,48495.0,308.4,True,True,True,True,-10.9,-5.3,-18.2,-16.2
EUR_USD,SELL,sl,True,48285.0,318.3,True,True,True,True,-11.1,-11.4,-0.5,5.7
EUR_USD,BUY,sl,True,1095.0,430.2,True,True,True,True,-11.7,-5.1,-15.7,-15.1
EUR_USD,BUY,sl,True,380.0,407.9,True,True,True,True,-5.8,-8.4,-7.0,-2.3
EUR_USD,BUY,sl,True,215.0,412.7,True,True,True,True,-3.6,-3.5,-1.6,1.4
EUR_USD,BUY,sl,True,120.0,410.2,True,True,True,True,-6.7,-0.5,-1.7,-0.7
EUR_USD,BUY,sl,True,170.0,392.1,True,True,True,True,-5.7,-3.1,-2.4,3.8
EUR_USD,BUY,sl,True,45.0,394.2,True,True,True,True,-5.1,-5.5,-7.7,8.4
EUR_USD,BUY,sl,True,20.0,398.3,True,True,True,True,-3.6,9.2,15.6,46.6
EUR_USD,BUY,sl,True,4655.0,352.5,True,True,True,True,-9.8,2.4,17.9,5.3
